SalePrice,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,MasVnrType_NAN,BsmtQual_NAN,GarageType_NAN
222000,0.0,0.75,0.3844819395240602,0.9936524981351678,1.0,1.0,0.6666666666666666,0.3333333333333333,1.0,0.0,0.5,0.7368421052631579,0.6000000000000001,1.0,0.5,0.8333333333333333,0.5555555555555556,1.0,0.15555555555555556,0.03333333333333333,1.0,0.0,0.2,0.5,0.5,0.1625,0.6666666666666666,0.3333333333333333,0.5,0.75,0.75,0.25,1.0,0.3692870201096892,0.6666666666666666,0.0,0.030821917808219176,0.2844214608920491,1.0,1.0,1.0,1.0,0.7311527944744767,0.0,0.0,0.5825173836660924,0.5,0.0,0.6666666666666666,0.0,0.375,0.3333333333333333,0.6666666666666666,0.18181818181818188,1.0,0.3333333333333333,0.75,0.8,0.19626168224299065,1.0,0.5,0.43269230769230765,0.75,1.0,1.0,0.3967391304347826,0.08043875685557587,0.0,0.35826771653543305,0.0,0.0,0.0,0.9999999999999999,0.75,0.6666666666666666,0.75,0.0,0.0,0.0
162900,0.17647058823529413,0.25,0.30510511304065147,0.25949424579644287,1.0,1.0,0.0,0.3333333333333333,1.0,0.5,0.5,0.15789473684210525,0.6000000000000001,1.0,0.5,0.16666666666666666,0.4444444444444445,0.75,0.5777777777777778,0.26666666666666666,0.5,0.0,0.4,0.30000000000000004,0.25,0.0,0.3333333333333333,1.0,1.0,0.5,0.75,0.25,0.8333333333333333,0.0,0.6666666666666666,0.0,0.461472602739726,0.34841628959276016,1.0,0.5,1.0,1.0,0.4928098635028628,0.24477447744774475,0.0,0.5449826618506628,0.0,0.0,0.6666666666666666,0.0,0.375,0.3333333333333333,0.3333333333333333,0.4545454545454546,1.0,0.3333333333333333,0.75,0.4,0.7289719626168224,0.3333333333333333,0.5,0.28846153846153844,0.75,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4545454545454545,0.5,0.6666666666666666,0.75,0.0,0.0,0.0
132500,0.3529411764705882,0.75,0.3362173701621243,0.5815975123620758,1.0,1.0,0.6666666666666666,0.3333333333333333,1.0,0.5,0.5,0.6842105263157894,0.6000000000000001,1.0,0.5,0.5,0.4444444444444445,0.5,0.22222222222222224,0.5,0.5,0.0,0.4,0.30000000000000004,0.25,0.0,0.3333333333333333,1.0,0.5,0.5,0.75,0.75,0.6666666666666666,0.22074954296160879,0.6666666666666666,0.0,0.18321917808219176,0.2944408532643827,1.0,0.75,1.0,1.0,0.39256716875982844,0.0,0.0,0.2597606718375176,0.0,0.0,0.3333333333333333,0.0,0.375,0.3333333333333333,0.3333333333333333,0.2727272727272727,1.0,0.0,0.5,0.4,0.2803738317757009,0.3333333333333333,0.5,0.4615384615384615,0.75,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5454545454545454,0.0,0.6666666666666666,0.75,0.0,0.0,0.0
210000,0.0,0.75,0.4288805731761245,0.4381206815909122,1.0,1.0,0.0,0.3333333333333333,1.0,0.5,0.5,0.6842105263157894,0.6000000000000001,1.0,0.5,0.8333333333333333,0.6666666666666665,0.5,0.02962962962962963,0.06666666666666667,0.5,0.0,0.9,0.9,0.5,0.16625,0.6666666666666666,1.0,1.0,0.75,0.75,0.5,1.0,0.4323583180987203,0.6666666666666666,0.0,0.20976027397260272,0.4641241111829347,1.0,1.0,1.0,1.0,0.6372556403558112,0.0,0.0,0.4930099314538645,0.5,0.0,0.6666666666666666,0.0,0.375,0.3333333333333333,0.6666666666666666,0.4545454545454546,1.0,0.0,0.25,0.8,0.037383177570093455,0.3333333333333333,0.5,0.38782051282051283,0.75,1.0,1.0,0.18885869565217392,0.17915904936014626,0.0,0.0,0.0,0.0,0.0,0.2727272727272727,0.5,0.6666666666666666,0.75,0.0,0.0,0.0
206900,0.2352941176470588,0.75,0.5776838802086337,0.597503615605393,1.0,1.0,0.0,0.3333333333333333,1.0,0.5,0.5,0.2631578947368421,0.6000000000000001,1.0,0.5,1.0,0.5555555555555556,0.5,0.2888888888888889,0.65,0.5,0.0,0.5,0.6000000000000001,0.25,0.0,0.3333333333333333,1.0,0.5,0.25,0.75,0.5,0.6666666666666666,0.22851919561243145,0.5,0.18724559023066484,0.07534246575342465,0.3076923076923077,1.0,0.5,1.0,1.0,0.47340289856315776,0.5610561056105611,0.0,0.7130387813253152,0.0,0.0,0.6666666666666666,0.5,0.5,0.3333333333333333,0.3333333333333333,0.5454545454545455,1.0,0.6666666666666666,0.75,0.8,0.3644859813084112,0.3333333333333333,0.5,0.4615384615384615,0.75,1.0,1.0,0.3804347826086956,0.0,0.0,0.0,0.0,0.0,0.0,0.4545454545454545,0.5,0.6666666666666666,0.75,0.0,0.0,0.0
274900,0.0,0.75,0.5156041494973234,0.5127434409562008,1.0,1.0,0.0,0.3333333333333333,1.0,0.5,0.5,1.0,0.6000000000000001,1.0,0.5,0.8333333333333333,0.7777777777777777,0.5,0.037037037037037035,0.06666666666666667,1.0,0.0,0.9,0.9,0.5,0.16375,0.6666666666666666,1.0,1.0,1.0,0.75,0.75,1.0,0.49725776965265084,0.6666666666666666,0.0,0.2675513698630137,0.5536522301228184,1.0,1.0,1.0,1.0,0.7427917443273144,0.0,0.0,0.5936122113797926,0.5,0.0,0.6666666666666666,0.0,0.375,0.3333333333333333,1.0,0.36363636363636365,1.0,0.3333333333333333,0.75,0.8,0.04672897196261682,1.0,0.75,0.6858974358974359,0.75,1.0,1.0,0.0,0.04753199268738574,0.0,0.0,0.3541666666666667,0.0,0.0,0.0,0.75,0.6666666666666666,0.75,0.0,0.0,0.0
239686,0.17647058823529413,0.75,0.26070623655763536,0.6837997246278684,1.0,1.0,0.6666666666666666,0.3333333333333333,1.0,0.75,0.5,0.3684210526315789,0.6000000000000001,1.0,0.5,0.16666666666666666,0.6666666666666665,0.5,0.044444444444444446,0.1,0.5,0.0,0.9,0.9,0.25,0.0,0.6666666666666666,1.0,1.0,1.0,0.75,0.25,1.0,0.6174588665447898,0.6666666666666666,0.0,0.035530821917808215,0.4634776987718164,1.0,1.0,1.0,1.0,0.6704821690471152,0.34708470847084705,0.0,0.7229443153439452,0.5,0.0,0.3333333333333333,0.5,0.125,0.3333333333333333,0.6666666666666666,0.2727272727272727,1.0,0.3333333333333333,1.0,0.8,0.05607476635514018,0.6666666666666666,0.5,0.5368589743589743,0.75,1.0,1.0,0.22826086956521738,0.07861060329067641,0.0,0.0,0.4125,0.0,0.0,0.6363636363636364,0.75,0.6666666666666666,0.0,0.0,0.0,0.0
111250,0.0,0.75,0.3844819395240602,0.6797884973383121,1.0,1.0,0.6666666666666666,0.3333333333333333,1.0,0.25,0.5,0.2631578947368421,0.6000000000000001,1.0,0.5,0.8333333333333333,0.3333333333333333,0.5,0.26666666666666666,0.6,1.0,0.0,0.4,0.30000000000000004,0.25,0.0,0.3333333333333333,1.0,0.5,0.5,0.75,0.25,0.5,0.2742230347349177,0.6666666666666666,0.0,0.11301369863013698,0.2792501616031028,1.0,0.5,1.0,1.0,0.33327821163501126,0.0,0.0,0.20324347974183565,0.0,0.0,0.3333333333333333,0.0,0.375,0.3333333333333333,0.3333333333333333,0.18181818181818188,1.0,0.0,0.75,0.4,0.2616822429906542,0.3333333333333333,0.5,0.4615384615384615,0.75,1.0,1.0,0.2934782608695652,0.0,0.0,0.0,0.0,0.0,0.0,0.2727272727272727,0.5,0.0,0.75,0.0,0.0,0.0
295493,0.0,0.75,0.39365033250032666,0.5505137671713802,1.0,1.0,0.6666666666666666,0.3333333333333333,1.0,0.5,0.5,0.6842105263157894,0.6000000000000001,1.0,0.5,0.8333333333333333,0.7777777777777777,0.5,0.007407407407407408,0.016666666666666666,0.5,0.0,0.9,0.9,1.0,0.16875,0.6666666666666666,1.0,1.0,1.0,0.75,1.0,0.8333333333333333,0.0,0.6666666666666666,0.0,0.6943493150684931,0.524240465416936,1.0,1.0,1.0,1.0,0.7130750156271293,0.0,0.0,0.5652847428957748,0.5,0.0,0.6666666666666666,0.0,0.375,0.3333333333333333,1.0,0.4545454545454546,1.0,0.3333333333333333,0.75,0.8,0.009345794392523364,0.6666666666666666,0.75,0.6891025641025641,0.75,1.0,1.0,0.23369565217391303,0.07678244972577697,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.6666666666666666,0.75,0.0,0.0,0.0
97500,0.17647058823529413,0.75,0.5300124878197654,0.8671533711292794,1.0,1.0,0.0,0.3333333333333333,1.0,0.5,0.5,0.2631578947368421,0.0,1.0,0.5,0.16666666666666666,0.5555555555555556,0.5,0.45925925925925926,1.0,0.5,0.0,0.9,0.9,0.25,0.0,0.3333333333333333,1.0,0.5,0.5,0.75,0.25,0.8333333333333333,0.0,0.6666666666666666,0.0,0.3904109589041096,0.29476405946994183,1.0,0.5,1.0,1.0,0.36562819612612474,0.3003300330033003,0.0,0.5016817325552636,0.0,0.5,0.3333333333333333,0.0,0.375,0.3333333333333333,0.3333333333333333,0.2727272727272727,1.0,0.3333333333333333,0.75,0.8,0.5794392523364486,0.3333333333333333,0.25,0.2644230769230769,0.75,1.0,1.0,0.2608695652173913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.0,0.0,0.0,0.0
